transferYear,newNation,formNation,playerName
1983,France,Italy,1
1983,Italy,England,1
1983,Spain,England,1
1983,Spain,Germany,1
1984,England,France,2
1984,England,Italy,2
1984,England,Spain,1
1984,France,Italy,1
1984,Germany,France,1
1984,Germany,Spain,1
1984,Italy,England,3
1984,Italy,Germany,3
1984,Italy,Spain,1
1984,Spain,England,1
1984,Spain,France,1
1984,Spain,Italy,1
1985,England,France,1
1985,England,Spain,1
1985,Germany,Spain,2
1985,Italy,England,2
1985,Italy,Spain,1
1986,England,Italy,1
1986,Germany,England,1
1986,Germany,France,1
1986,Germany,Italy,1
1986,Italy,England,1
1986,Spain,England,3
1986,Spain,Germany,2
1987,France,Italy,2
1987,Germany,France,1
1987,Germany,Spain,1
1987,Italy,England,1
1987,Italy,France,1
1987,Italy,Germany,2
1987,Spain,England,2
1987,Spain,France,2
1988,England,France,1
1988,England,Germany,1
1988,England,Italy,3
1988,England,Spain,5
1988,France,Italy,2
1988,Germany,Italy,1
1988,Italy,Germany,4
1988,Italy,Spain,3
1988,Spain,England,2
1988,Spain,Germany,1
1988,Spain,Italy,1
1989,England,France,1
1989,England,Germany,1
1989,England,Italy,1
1989,England,Spain,3
1989,France,Italy,1
1989,Germany,England,1
1989,Germany,France,2
1989,Germany,Spain,1
1989,Italy,Germany,3
1989,Italy,Spain,2
1989,Spain,England,2
1989,Spain,Italy,1
1990,England,Italy,1
1990,France,Italy,2
1990,Germany,France,5
1990,Germany,Italy,1
1990,Italy,France,2
1990,Italy,Germany,2
1990,Italy,Spain,2
1990,Spain,England,2
1990,Spain,France,1
1990,Spain,Germany,1
1990,Spain,Italy,4
1991,England,France,2
1991,England,Germany,2
1991,England,Spain,2
1991,France,Italy,1
1991,Germany,France,1
1991,Germany,Italy,2
1991,Italy,England,1
1991,Italy,France,3
1991,Italy,Germany,4
1991,Spain,France,1
1991,Spain,Italy,1
1992,England,France,3
1992,France,Italy,5
1992,Germany,France,2
1992,Germany,Italy,3
1992,Germany,Spain,1
1992,Italy,England,2
1992,Italy,France,5
1992,Italy,Germany,4
1992,Italy,Spain,3
1992,Spain,France,1
1992,Spain,Italy,3
1993,England,Germany,2
1993,England,Italy,1
1993,France,Italy,1
1993,Germany,England,1
1993,Germany,France,1
1993,Germany,Italy,2
1993,Germany,Spain,3
1993,Italy,France,4
1993,Italy,Germany,1
1993,Spain,England,1
1993,Spain,France,2
1994,England,France,3
1994,England,Germany,1
1994,England,Italy,2
1994,Germany,France,2
1994,Germany,Italy,9
1994,Italy,France,5
1994,Spain,France,1
1994,Spain,Germany,1
1994,Spain,Italy,2
1995,England,France,1
1995,England,Germany,5
1995,England,Italy,7
1995,France,Italy,1
1995,Germany,England,2
1995,Germany,France,1
1995,Germany,Italy,5
1995,Italy,England,4
1995,Italy,France,4
1995,Italy,Spain,1
1995,Spain,England,1
1995,Spain,Germany,2
1995,Spain,Italy,2
1996,England,France,8
1996,England,Germany,2
1996,England,Italy,8
1996,England,Spain,3
1996,France,Italy,1
1996,Germany,England,5
1996,Germany,France,3
1996,Germany,Italy,3
1996,Germany,Spain,1
1996,Italy,England,4
1996,Italy,France,11
1996,Italy,Germany,3
1996,Italy,Spain,2
1996,Spain,England,1
1996,Spain,France,17
1996,Spain,Germany,4
1996,Spain,Italy,7
1997,England,France,13
1997,England,Germany,6
1997,England,Italy,15
1997,England,Spain,3
1997,France,Italy,2
1997,Germany,England,4
1997,Germany,France,6
1997,Germany,Italy,3
1997,Germany,Spain,4
1997,Italy,England,1
1997,Italy,France,8
1997,Italy,Germany,6
1997,Italy,Spain,6
1997,Spain,England,3
1997,Spain,France,4
1997,Spain,Italy,9
1998,England,France,15
1998,England,Germany,5
1998,England,Italy,11
1998,England,Spain,2
1998,France,Italy,4
1998,Germany,England,4
1998,Germany,France,7
1998,Germany,Italy,2
1998,Germany,Spain,3
1998,Italy,England,2
1998,Italy,France,11
1998,Italy,Germany,4
1998,Italy,Spain,8
1998,Spain,England,3
1998,Spain,France,6
1998,Spain,Italy,11
1999,England,France,8
1999,England,Germany,4
1999,England,Italy,7
1999,England,Spain,7
1999,France,Italy,2
1999,Germany,England,3
1999,Germany,France,4
1999,Germany,Italy,3
1999,Germany,Spain,1
1999,Italy,England,2
1999,Italy,France,8
1999,Italy,Germany,2
1999,Italy,Spain,10
1999,Spain,England,4
1999,Spain,France,5
1999,Spain,Italy,6
2000,England,France,15
2000,England,Germany,7
2000,England,Italy,7
2000,England,Spain,6
2000,France,Italy,5
2000,Germany,England,3
2000,Germany,France,6
2000,Germany,Italy,3
2000,Germany,Spain,1
2000,Italy,England,4
2000,Italy,France,8
2000,Italy,Germany,2
2000,Italy,Spain,6
2000,Spain,England,7
2000,Spain,France,3
2000,Spain,Italy,5
2001,England,France,17
2001,England,Germany,3
2001,England,Italy,10
2001,England,Spain,7
2001,France,Italy,6
2001,Germany,England,3
2001,Germany,France,3
2001,Germany,Italy,3
2001,Germany,Spain,3
2001,Italy,England,3
2001,Italy,France,8
2001,Italy,Germany,2
2001,Italy,Spain,7
2001,Spain,England,3
2001,Spain,France,5
2001,Spain,Germany,2
2001,Spain,Italy,4
2002,England,France,20
2002,England,Germany,2
2002,England,Italy,2
2002,England,Spain,4
2002,France,Italy,2
2002,Germany,England,2
2002,Germany,France,1
2002,Germany,Italy,1
2002,Germany,Spain,1
2002,Italy,England,3
2002,Italy,France,5
2002,Italy,Germany,2
2002,Italy,Spain,1
2002,Spain,England,3
2002,Spain,France,5
2002,Spain,Italy,8
2003,England,France,13
2003,England,Germany,4
2003,England,Italy,7
2003,England,Spain,6
2003,France,Italy,2
2003,Germany,England,7
2003,Germany,Italy,1
2003,Germany,Spain,4
2003,Italy,England,6
2003,Italy,France,7
2003,Italy,Spain,2
2003,Spain,England,3
2003,Spain,France,7
2003,Spain,Italy,6
2004,England,France,12
2004,England,Germany,3
2004,England,Italy,6
2004,England,Spain,13
2004,France,Italy,4
2004,Germany,England,5
2004,Germany,France,5
2004,Germany,Italy,3
2004,Germany,Spain,2
2004,Italy,England,1
2004,Italy,France,4
2004,Italy,Germany,1
