,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
0,Siegfried Susser,Germany,Central Midfield,Stuttgarter Kickers,Germany,RC Strasbourg Alsace,France,?,1983
1,Philippe Schuth,France,Goalkeeper,Unknown,N/A,RC Strasbourg Alsace,France,?,1983
2,Abdelkarim Krimau,Morocco,Centre-Forward,FC Metz,France,RC Strasbourg Alsace,France,?,1983
3,Albert Gemmrich,France,Left Winger,LOSC Lille,France,RC Strasbourg Alsace,France,?,1983
4,Alfred Vitalis,France,Left-Back,AS Monaco,France,RC Strasbourg Alsace,France,?,1983
5,Claude Quéry,France,Attack,RC Lens,France,RC Strasbourg Alsace,France,?,1983
6,Issiaka Ouattara,Burkina Faso,Centre-Forward,FC Mulhouse 1893,France,RC Strasbourg Alsace,France,?,1983
7,Rémy Gentes,France,Attack,RC Strasbourg Alsace,France,Nîmes Olympique,France,?,1983
8,Jean-François Jodar,France,Centre-Back,RC Strasbourg Alsace,France,FC Montceau Bourgogne,France,?,1983
9,Bernard Romby,France,Defence,RC Strasbourg Alsace,France,Le Havre AC,France,?,1983
10,Guy Mauffroy,France,Attack,RC Strasbourg Alsace,France,Stade Français,France,?,1983
11,Daniel Neveu,France,Midfield,RC Strasbourg Alsace,France,Racing Strasbourg B,France,0.0,1983
12,Marc Chèze,France,Midfield,RC Strasbourg Alsace,France,Racing Strasbourg B,France,0.0,1983
13,Eric William Njo-Léa,Cameroon,Attack,Racing Club Franc-Comtois ,France,Brest Armorique FC,France,?,1983
14,Pascal Gousset,France,Centre-Back,LOSC Lille,France,Brest Armorique FC,France,?,1983
15,Joël Caddeo,France,Attack,Unknown,N/A,Brest Armorique FC,France,?,1983
16,Patrick Chaslerie,France,Goalkeeper,Angers SCO,France,Brest Armorique FC,France,?,1983
17,Bruno Steck,France,Centre-Back,FC Tours,France,Brest Armorique FC,France,?,1983
18,François Denis,France,Centre-Back,Unknown,N/A,Brest Armorique FC,France,?,1983
19,Slavoljub Muslin,Serbia,Defence,LOSC Lille,France,Brest Armorique FC,France,?,1983
20,Joël Henry,France,Attacking Midfield,LOSC Lille,France,Brest Armorique FC,France,?,1983
21,Eric Hély,France,Centre-Back,FC Sochaux-Montbéliard,France,Brest Armorique FC,France,?,1983
22,Eric Auffret,France,Midfield,Unknown,N/A,Brest Armorique FC,France,?,1983
23,Yvon Le Roux,France,Centre-Back,Brest Armorique FC,France,AS Monaco,France,?,1983
24,Drago Vabec,Croatia,Left Winger,Brest Armorique FC,France,GNK Dinamo Zagreb,Croatia,?,1983
25,Michel Goba,Cote d'Ivoire,Attack,Brest Armorique FC,France,AS Angoulême,France,?,1983
26,Patrice Augustin,France,Attacking Midfield,Brest Armorique FC,France,Club sportif Thonon-les-Bains,France,?,1983
27,Ambroise Kédié,Cote d'Ivoire,Defence,Brest Armorique FC,France,Stade quimpérois,France,?,1983
28,Fréderic Dobraje,France,Goalkeeper,Brest Armorique FC,France,FC Tours,France,?,1983
29,Patrick Parizon,France,Right Winger,Brest Armorique FC,France,Club sportif Thonon-les-Bains,France,?,1983
30,Gérard Bernardet,France,Attacking Midfield,Brest Armorique FC,France,FC Mulhouse 1893,France,?,1983
31,Bernard Bureau,France,Right Winger,Brest Armorique FC,France,LOSC Lille,France,?,1983
33,Philippe Sence,France,Goalkeeper,INF Vichy,France,FC Rouen,France,?,1983
34,Philippe Redon,France,Right Winger,Stade Lavallois,France,FC Rouen,France,?,1983
35,Cyriaque Didaux,France,Left Midfield,US Valenciennes-Anzin,France,FC Rouen,France,?,1983
36,Gilles Gallou,France,Right-Back,RC Lens,France,FC Rouen,France,?,1983
37,Bronislaw Bula,Poland,Attacking Midfield,FC Rouen,France,Racing Club d'Arras,France,?,1983
38,Joël Tanter,France,Right Winger,FC Rouen,France,Association sportive aixoise,France,?,1983
39,Bernard Caron,France,Centre-Back,FC Rouen,France,Périgueux Football Club,France,?,1983
40,Dominique Berthaud,France,Centre-Back,FC Rouen,France,Stade quimpérois,France,?,1983
42,Serge Allary,France,Goalkeeper,FC Rouen,France,FC Rouen B,France,0.0,1983
43,Krzysztof Surlit,Poland,Central Midfield,Widzew Lodz,Poland,Nîmes Olympique,France,?,1983
44,Rémy Gentes,France,Attack,RC Strasbourg Alsace,France,Nîmes Olympique,France,?,1983
45,Eric Solignac,France,Goalkeeper,AS Saint-Étienne,France,Nîmes Olympique,France,?,1983
