,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
0,Juan Lozano,Spain,Midfield,RSC Anderlecht,Belgium,Real Madrid,Spain,1880000.0,1983
1,Julio Suárez,Spain,Right Winger,UD Las Palmas,Spain,Real Madrid,Spain,330000.0,1983
2,Manolo Sanchís,Spain,Centre-Back,Castilla CF,Spain,Real Madrid,Spain,0.0,1983
3,Rafa Martín Vázquez,Spain,Attacking Midfield,Castilla CF,Spain,Real Madrid,Spain,0.0,1983
4,Emilio Butragueño,Spain,Centre-Forward,Castilla CF,Spain,Real Madrid,Spain,0.0,1983
5,Miguel Ángel Portugal,Spain,Left Midfield,Real Madrid,Spain,AD Rayo Vallecano,Spain,?,1983
6,Francisco García Hernández,Spain,Central Midfield,Real Madrid,Spain,CD Castellón,Spain,?,1983
7,Juan Acosta,Uruguay,Central Midfield,Real Madrid,Spain,CA Newell's Old Boys,Argentina,?,1983
8,Elías Benito,Spain,Midfield,AD Rayo Vallecano,Spain,Cádiz CF,Spain,?,1983
9,Manuel Padilla,Spain,Central Midfield,RCD Español,Spain,Cádiz CF,Spain,?,1983
10,Higinio Vilches,Spain,Left Midfield,RCD Español,Spain,Cádiz CF,Spain,?,1983
11,Manolo Valle,Spain,Attack,FC Barcelona Atlético,Spain,Cádiz CF,Spain,?,1983
12,Francis Cabral,Spain,Attack,Xerez CD,Spain,Cádiz CF,Spain,?,1983
13,Jesús Linares,Spain,Defence,Cádiz CF,Spain,Recreativo Huelva,Spain,?,1983
14,Hugo Vaca,Argentina,Defence,Cádiz CF,Spain,Algeciras CF,Spain,?,1983
15,Alfonso Federico Castro,Spain,Attack,Cádiz CF,Spain,Lorca Deportiva CF,Spain,?,1983
18,Juan Carlos Ablanedo,Spain,Goalkeeper,Sporting Atlético,Spain,Sporting Gijón,Spain,0.0,1983
19,Eloy Olaya,Spain,Centre-Forward,Sporting Atlético,Spain,Sporting Gijón,Spain,0.0,1983
20,Francisco Uría,Spain,Left-Back,Sporting Gijón,Spain,Real Oviedo CF,Spain,?,1983
21,Dusan Savic,Serbia,Centre-Forward,Sporting Gijón,Spain,LOSC Lille,France,?,1983
24,Javier Canosa,Spain,Left-Back,Celta de Vigo,Spain,UD Salamanca,Spain,?,1983
25,Balín,Spain,Attack,Castilla CF,Spain,UD Salamanca,Spain,?,1983
26,Balta Sánchez,Spain,Defence,Unknown,N/A,UD Salamanca,Spain,?,1983
27,Serafín de la Torre,Spain,Defence,Unknown,N/A,UD Salamanca,Spain,?,1983
28,Zlatomir Micanovic,Serbia,Attack,FK Vojvodina Novi Sad,Serbia,UD Salamanca,Spain,?,1983
29,José Luis Cabrero,Spain,Midfield,CD Salmantino,Spain,UD Salamanca,Spain,0.0,1983
30,José Ángel del Cerro,Spain,Goalkeeper,CD Salmantino,Spain,UD Salamanca,Spain,0.0,1983
31,José Alberto Garmendia,Spain,Goalkeeper,UD Salamanca,Spain,Albacete Balompié,Spain,?,1983
32,Enrique Herrero,Spain,Centre-Back,UD Salamanca,Spain,Real Murcia CF,Spain,?,1983
33,Paco Martínez,Spain,Central Midfield,UD Salamanca,Spain,RCD Mallorca,Spain,?,1983
34,Carlos Brizzola,Argentina,Right Winger,UD Salamanca,Spain,RC Deportivo Coruña,Spain,?,1983
35,José Ramón Corchado,Spain,Centre-Forward,UD Salamanca,Spain,Real Zaragoza,Spain,?,1983
36,Clemente Rolón,Paraguay,Centre-Forward,UD Salamanca,Spain,River Plate Asunción,Paraguay,?,1983
38,Manolo Zambrano,Spain,Midfield,Recreativo Huelva,Spain,CD Málaga,Spain,?,1983
40,Francisco Astorga,Spain,Midfield,CD Málaga,Spain,Club Atlético de Ceuta,Spain,?,1983
41,Roberto Gasparini,Argentina,Attack,CD Málaga,Spain,Club Atlético Racing,Argentina,0.0,1983
42,Juan José Urruti,Argentina,Attack,Club Atlético Racing,Argentina,Valencia CF,Spain,126000.0,1983
43,José Vicente Aliaga,Spain,Right-Back,CD Castellón,Spain,Valencia CF,Spain,?,1983
44,José Carlos Granero,Spain,Defence,Unknown,N/A,Valencia CF,Spain,?,1983
45,José Raúl Iglesias,Argentina,Attack,CA San Lorenzo de Almagro,Argentina,Valencia CF,Spain,?,1983
46,Fernando,Spain,Midfield,Valencia CF U19,Spain,Valencia CF,Spain,0.0,1983
47,Jesús García-Pitarch,Spain,Attack,CD Mestalla,Spain,Valencia CF,Spain,0.0,1983
48,Kurt Welzl,Austria,Centre-Forward,Valencia CF,Spain,KAA Gent,Belgium,?,1983
49,Frank Arnesen,Denmark,Attacking Midfield,Valencia CF,Spain,RSC Anderlecht,Belgium,?,1983
50,Santi Idígoras,Spain,Centre-Forward,Valencia CF,Spain,Deportivo Alavés,Spain,?,1983
51,Darío Felman,Argentina,Right Winger,Valencia CF,Spain,Gimnasia y Esgrima de Mendoza,Argentina,?,1983
52,Daniel Solsona,Spain,Attacking Midfield,Valencia CF,Spain,Sporting Étoile Club Bastia ,France,?,1983
55,Froilán Maldonado,Spain,Left-Back,CD Cristo Olímpico,Spain,RCD Español,Spain,?,1983
56,Javier Novarini,Argentina,Defence,Unknown,N/A,RCD Español,Spain,?,1983
57,José Manuel Lacalle,Spain,Midfield,San Sebastián CF,Spain,RCD Español,Spain,?,1983
58,Miquel Soler,Spain,Left-Back,FC Cristinenc,Spain,RCD Español,Spain,0.0,1983
59,Robi,Spain,Centre-Back,FC Cristinenc,Spain,RCD Español,Spain,0.0,1983
60,Theo Custers,Belgium,Goalkeeper,RCD Español,Spain,KV Mechelen,Belgium,?,1983
61,Rafael Marañón,Spain,Centre-Forward,RCD Español,Spain,CE Sabadell FC,Spain,?,1983
62,Javier Escalza,Spain,Left-Back,RCD Español,Spain,CE Sabadell FC,Spain,?,1983
63,Manuel Padilla,Spain,Central Midfield,RCD Español,Spain,Cádiz CF,Spain,?,1983
64,Higinio Vilches,Spain,Left Midfield,RCD Español,Spain,Cádiz CF,Spain,?,1983
65,Andoni Murúa,Spain,Left Winger,RCD Español,Spain,Racing Santander,Spain,?,1983
67,Javier Sagarzazu,Spain,Right-Back,San Sebastián CF,Spain,Real Sociedad,Spain,0.0,1983
68,Bixente Biurrun,Spain,Goalkeeper,Real Sociedad,Spain,CA Osasuna,Spain,225000.0,1983
69,Fernando Tirapu,Spain,Right Midfield,Athletic Bilbao,Spain,CA Osasuna,Spain,?,1983
70,Teo Rastrojo,Spain,Left-Back,Athletic Bilbao,Spain,Hércules CF,Spain,?,1983
72,Juan Álvarez,Spain,Centre-Forward,FSV Frankfurt,Germany,Sevilla FC,Spain,?,1983
73,Vicente Villalba,Spain,Goalkeeper,Unknown,N/A,Sevilla FC,Spain,?,1983
74,Antonio Benítez,Spain,Midfield,Sevilla FC B,Spain,Sevilla FC,Spain,0.0,1983
75,Ramón,Spain,Centre-Forward,Sevilla FC B,Spain,Sevilla FC,Spain,0.0,1983
76,César,Brazil,Midfield,Sevilla FC,Spain,Portuguesa,Brazil,?,1983
78,Jesús López,Spain,Midfield,CD Cristo Olímpico,Spain,Real Valladolid Deportivo,Spain,?,1983
79,Enrique Sala,Spain,Goalkeeper,Hércules CF,Spain,Real Valladolid Deportivo,Spain,?,1983
80,Manuel Peña,Spain,Attack,Unknown,N/A,Real Valladolid Deportivo,Spain,?,1983
81,Eusebio,Spain,Defensive Midfield,Real Valladolid B,Spain,Real Valladolid Deportivo,Spain,0.0,1983
82,Goyo Fonseca,Spain,Attack,Real Valladolid U19,Spain,Real Valladolid Deportivo,Spain,0.0,1983
83,Gilberto Yearwood,Honduras,Centre-Back,Real Valladolid Deportivo,Spain,CD Tenerife,Spain,?,1983
84,José Luis Montes,Spain,Goalkeeper,Real Valladolid Deportivo,Spain,RC Deportivo Coruña,Spain,?,1983
85,Antonio Pastor,Spain,Right-Back,Real Valladolid Deportivo,Spain,Granada CF,Spain,?,1983
86,Rusky,Spain,Centre-Forward,Real Valladolid Deportivo,Spain,CE Sabadell FC,Spain,?,1983
87,Joaquín Muñoz,Spain,Centre-Forward,Real Valladolid Deportivo,Spain,Algeciras CF,Spain,?,1983
88,Juan Manuel,Spain,Midfield,Real Valladolid Deportivo,Spain,CD Tenerife,Spain,?,1983
89,Bixente Biurrun,Spain,Goalkeeper,Real Sociedad,Spain,CA Osasuna,Spain,225000.0,1983
90,Fernando Tirapu,Spain,Right Midfield,Athletic Bilbao,Spain,CA Osasuna,Spain,?,1983
91,Pere Gratacós,Spain,Centre-Back,FC Barcelona Atlético,Spain,CA Osasuna,Spain,?,1983
92,Cándido,Spain,Midfield,FC Barcelona Atlético,Spain,CA Osasuna,Spain,?,1983
93,José Luis Barandica,Spain,Goalkeeper,CA Osasuna,Spain,Real Betis Balompié,Spain,?,1983
95,Gerry Armstrong,Northern Ireland,Centre-Forward,Watford FC,England,RCD Mallorca,Spain,250000.0,1983
96,Sabino Zubeldía,Spain,Goalkeeper,CD Cristo Olímpico,Spain,RCD Mallorca,Spain,?,1983
97,Juan José Estella,Spain,Right Midfield,FC Barcelona,Spain,RCD Mallorca,Spain,?,1983
98,Juan Carlos Verón,Argentina,Attacking Midfield,Racing Santander,Spain,RCD Mallorca,Spain,?,1983
99,Paco Martínez,Spain,Central Midfield,UD Salamanca,Spain,RCD Mallorca,Spain,?,1983
100,Juani,Spain,Left Winger,UD Las Palmas,Spain,RCD Mallorca,Spain,?,1983
101,Jesús García Jiménez,Spain,Defence,AD Rayo Vallecano,Spain,RCD Mallorca,Spain,?,1983
102,José Alberto Izquierdo,Spain,Left-Back,AD Rayo Vallecano,Spain,RCD Mallorca,Spain,?,1983
103,José Crespí,Spain,Midfield,Mallorca Atlético,Spain,RCD Mallorca,Spain,0.0,1983
